# Data from Radiometers at the UBC Climate Station (Totem Field)
# Year: 2010 / Month: 08 / Day: 15
# All times in PST
# K_in  : Short-wave incoming radiation in W m^-2 (measured every 10 min)
# K_out : Short-wave outgoing radiation in W m^-2 (measured every 10 min)
# L_in  : Long-wave incoming radiation in W m^-2 (measured every 10 min)
# L_out : Long-wave outgoing radiation in W m^-2 (measured every 10 min)
# AirT  : Screen-level air temperature in degree Celsius (measured every 30 min)
# RH    : Screen-level relative humidity in % (measured every 30 min)
#
"TIME (PST)"    ,  "K_in", "K_out",  "L_in", "L_out",  "AirT",    "RH",
2010/08/15 00:10,     0.0,     0.0,   348.3,   380.7,        ,        , 
2010/08/15 00:20,     0.0,     0.0,   346.7,   380.1,        ,        , 
2010/08/15 00:30,     0.0,     0.0,   346.5,   379.7,    21.4,    59.7, 
2010/08/15 00:40,     0.0,     0.0,   346.5,   378.1,        ,        , 
2010/08/15 00:50,     0.0,     0.0,   346.6,   378.7,        ,        , 
2010/08/15 01:00,     0.0,     0.0,   347.6,   380.5,    20.4,    65.2, 
2010/08/15 01:10,     0.0,     0.0,   348.4,   380.0,        ,        , 
2010/08/15 01:20,     0.0,     0.0,   346.8,   378.4,        ,        , 
2010/08/15 01:30,     0.0,     0.0,   347.8,   379.5,    19.5,    63.9, 
2010/08/15 01:40,     0.0,     0.0,   347.6,   380.5,        ,        , 
2010/08/15 01:50,     0.0,     0.0,   347.7,   379.5,        ,        , 
2010/08/15 02:00,     0.0,     0.0,   344.7,   377.2,    19.4,    63.7, 
2010/08/15 02:10,     0.0,     0.0,   345.3,   377.4,        ,        , 
2010/08/15 02:20,     0.0,     0.0,   345.4,   376.8,        ,        , 
2010/08/15 02:30,     0.0,     0.0,   346.2,   377.9,    19.4,    67.9, 
2010/08/15 02:40,     0.0,     0.0,   346.5,   377.4,        ,        , 
2010/08/15 02:50,     0.0,     0.0,   348.6,   379.7,        ,        , 
2010/08/15 03:00,     0.0,     0.0,   347.2,   377.5,    18.7,    69.8, 
2010/08/15 03:10,     0.0,     0.0,   345.1,   376.7,        ,        , 
2010/08/15 03:20,     0.0,     0.0,   345.7,   376.9,        ,        , 
2010/08/15 03:30,     0.0,     0.0,   348.0,   377.4,    18.4,    68.0, 
2010/08/15 03:40,     1.2,     0.0,   355.7,   380.5,        ,        , 
2010/08/15 03:50,     0.7,     0.0,   353.0,   379.1,        ,        , 
2010/08/15 04:00,     0.0,     0.0,   347.3,   376.8,    18.5,    57.9, 
2010/08/15 04:10,     0.0,     0.0,   343.6,   376.4,        ,        , 
2010/08/15 04:20,     0.0,     0.0,   345.3,   377.6,        ,        , 
2010/08/15 04:30,     1.1,     0.0,   355.3,   395.1,    20.3,    59.6, 
2010/08/15 04:40,     0.2,     0.0,   350.5,   393.6,        ,        , 
2010/08/15 04:50,     0.0,     0.0,   347.3,   391.7,        ,        , 
2010/08/15 05:00,     0.0,     0.0,   346.3,   393.1,    19.8,    53.6, 
2010/08/15 05:10,     1.0,     0.0,   343.8,   392.1,        ,        , 
2010/08/15 05:20,     4.7,     0.2,   344.8,   393.3,        ,        , 
2010/08/15 05:30,     9.9,     0.8,   346.1,   394.2,    21.1,    54.8, 
2010/08/15 05:40,    15.5,     1.1,   348.2,   395.1,        ,        , 
2010/08/15 05:50,    20.8,     1.7,   350.2,   394.5,        ,        , 
2010/08/15 06:00,    27.0,     2.4,   351.7,   396.2,    20.8,    52.5, 
2010/08/15 06:10,    61.6,     9.6,   353.6,   396.8,        ,        , 
2010/08/15 06:20,   104.4,    28.2,   357.0,   405.1,        ,        , 
2010/08/15 06:30,   128.9,    38.2,   357.4,   413.4,    21.3,    51.8, 
2010/08/15 06:40,   153.1,    45.4,   358.7,   419.9,        ,        , 
2010/08/15 06:50,   177.5,    52.3,   358.7,   424.9,        ,        , 
2010/08/15 07:00,   202.0,    59.5,   354.7,   423.9,    21.7,    53.5, 
2010/08/15 07:10,   229.5,    65.9,   357.3,   429.5,        ,        , 
2010/08/15 07:20,   258.8,    72.3,   360.1,   435.9,        ,        , 
2010/08/15 07:30,   287.0,    78.6,   363.9,   442.0,    22.1,    54.3, 
2010/08/15 07:40,   313.9,    84.7,   362.6,   443.5,        ,        , 
2010/08/15 07:50,   340.4,    90.0,   366.7,   450.7,        ,        , 
2010/08/15 08:00,   368.1,    96.3,   359.9,   446.8,    22.8,    48.1, 
2010/08/15 08:10,   396.6,   102.1,   357.5,   448.6,        ,        , 
2010/08/15 08:20,   424.0,   106.4,   364.3,   456.7,        ,        , 
2010/08/15 08:30,   453.2,   111.9,   360.1,   450.7,    24.1,    45.3, 
2010/08/15 08:40,   478.9,   116.2,   360.7,   455.8,        ,        , 
2010/08/15 08:50,   505.2,   121.5,   354.6,   452.8,        ,        , 
2010/08/15 09:00,   531.9,   124.7,   361.9,   462.1,    24.3,    47.3, 
2010/08/15 09:10,   557.1,   128.3,   362.4,   463.8,        ,        , 
2010/08/15 09:20,   580.4,   132.0,   361.5,   465.5,        ,        , 
2010/08/15 09:30,   603.1,   134.9,   364.6,   469.5,    23.8,    48.5, 
2010/08/15 09:40,   625.3,   137.7,   365.6,   470.5,        ,        , 
2010/08/15 09:50,   646.2,   139.8,   371.5,   477.9,        ,        , 
2010/08/15 10:00,   666.2,   142.0,   377.2,   485.3,    23.3,    45.9, 
2010/08/15 10:10,   685.3,   144.7,   377.8,   486.3,        ,        , 
2010/08/15 10:20,   700.8,   146.7,   375.4,   489.7,        ,        , 
2010/08/15 10:30,   714.9,   148.2,   376.2,   493.4,    24.0,    44.7, 
2010/08/15 10:40,   729.0,   149.6,   377.4,   496.6,        ,        , 
2010/08/15 10:50,   743.2,   151.1,   377.8,   496.5,        ,        , 
2010/08/15 11:00,   755.8,   153.4,   368.0,   488.8,    25.3,    47.1, 
2010/08/15 11:10,   767.3,   154.0,   373.2,   496.3,        ,        , 
