# Data from UBC Energy Balance Station <Westham Island>
# Year: 2009 / Month: 07 / Day: 02
# All times in PST
# T_1   : Soil temperature at  5 cm depth in deg C
# T_2   : Soil temperature at 10 cm depth in deg C
# T_3   : Soil temperature at 20 cm depth in deg C
# T_4   : Soil temperature at 50 cm depth in deg C
# QG    : Soil heat flux density at 7.5 cm depth in W m^-2
# VWC   : Soil volumetric water content at 7.5 cm depth in m^3 m^-3
# Q*    : Net all-wave radiation at 2 m height in W m^-2
# QH    : Turbulent sensible heat flux density at 2 m height in W m^-2 (every 30 min)

"TIME (PST)"    ,   "T_1",   "T_2",   "T_3",   "T_4",    "QG",   "WVC",    "Q*",    "QG",
2009/07/02 00:15,  11.920,  12.368,  12.402,  10.695,   -1.46,   0.187,   -82.7,        , 
2009/07/02 00:30,  11.840,  12.318,  12.379,  10.697,   -1.55,   0.187,   -82.1,   -67.8, 
2009/07/02 00:45,  11.801,  12.260,  12.374,  10.713,   -1.64,   0.187,   -81.3,        , 
2009/07/02 01:00,  11.716,  12.240,  12.343,  10.721,   -1.72,   0.187,   -81.0,   -78.9, 
2009/07/02 01:15,  11.667,  12.167,  12.320,  10.723,   -1.77,   0.187,   -81.0,        , 
2009/07/02 01:30,  11.610,  12.143,  12.305,  10.732,   -1.82,   0.187,   -81.5,   -74.4, 
2009/07/02 01:45,  11.546,  12.093,  12.297,  10.751,   -1.87,   0.187,   -81.9,        , 
2009/07/02 02:00,  11.486,  12.071,  12.253,  10.716,   -1.92,   0.187,   -82.0,   -77.6, 
2009/07/02 02:15,  11.434,  11.991,  12.220,  10.736,   -1.97,   0.187,   -81.9,        , 
2009/07/02 02:30,  11.409,  11.941,  12.188,  10.737,   -2.01,   0.187,   -81.9,   -70.7, 
2009/07/02 02:45,  11.335,  11.924,  12.153,  10.721,   -2.04,   0.187,   -81.4,        , 
2009/07/02 03:00,  11.296,  11.835,  12.113,  10.736,   -2.08,   0.187,   -81.6,   -76.1, 
2009/07/02 03:15,  11.211,  11.833,  12.113,  10.749,   -2.11,   0.187,   -81.0,        , 
2009/07/02 03:30,  11.168,  11.786,  12.082,  10.753,   -2.16,   0.187,   -80.8,   -70.4, 
2009/07/02 03:45,  11.123,  11.739,  12.049,  10.737,   -2.18,   0.187,   -80.7,        , 
2009/07/02 04:00,  11.090,  11.699,  12.054,  10.762,   -2.21,   0.187,   -80.8,   -65.2, 
2009/07/02 04:15,  11.026,  11.659,  11.997,  10.761,   -2.20,   0.187,   -81.7,        , 
2009/07/02 04:30,  10.985,  11.588,  11.978,  10.759,   -2.22,   0.187,   -77.3,   -63.9, 
2009/07/02 04:45,  10.928,  11.582,  11.967,  10.774,   -2.26,   0.187,   -67.8,        , 
2009/07/02 05:00,  10.913,  11.539,  11.927,  10.750,   -2.25,   0.187,   -53.0,   -59.3, 
2009/07/02 05:15,  10.872,  11.503,  11.917,  10.760,   -2.19,   0.188,   -33.6,        , 
2009/07/02 05:30,  10.892,  11.462,  11.857,  10.761,   -2.08,   0.188,   -10.5,   -34.5, 
2009/07/02 05:45,  10.891,  11.436,  11.853,  10.764,   -1.94,   0.188,    16.3,        , 
2009/07/02 06:00,  10.892,  11.384,  11.846,  10.747,   -1.76,   0.188,    46.7,    -6.3, 
2009/07/02 06:15,  10.962,  11.355,  11.779,  10.776,   -1.53,   0.188,    79.2,        , 
2009/07/02 06:30,  10.955,  11.353,  11.774,  10.737,   -1.25,   0.188,   112.9,    24.1, 
2009/07/02 06:45,  11.045,  11.343,  11.756,  10.745,   -0.96,   0.188,   147.7,        , 
2009/07/02 07:00,  11.113,  11.350,  11.687,  10.709,   -0.63,   0.188,   183.6,    59.6, 
2009/07/02 07:15,  11.224,  11.325,  11.685,  10.729,   -0.26,   0.188,   218.6,        , 
2009/07/02 07:30,  11.299,  11.389,  11.678,  10.714,    0.12,   0.188,   253.0,    98.4, 
2009/07/02 07:45,  11.427,  11.365,  11.644,  10.722,    0.55,   0.188,   286.0,        , 
2009/07/02 08:00,  11.538,  11.388,  11.611,  10.696,    1.03,   0.188,   319.8,   127.7, 
2009/07/02 08:15,  11.672,  11.442,  11.572,  10.704,    1.60,   0.187,   352.5,        , 
2009/07/02 08:30,  11.812,  11.479,  11.564,  10.709,    2.16,   0.187,   383.3,   158.1, 
2009/07/02 08:45,  11.961,  11.492,  11.540,  10.685,    2.74,   0.187,   413.5,        , 
2009/07/02 09:00,  12.168,  11.570,  11.564,  10.702,    3.48,   0.187,   443.6,   176.1, 
2009/07/02 09:15,  12.344,  11.618,  11.536,  10.679,    4.25,   0.187,   471.7,        , 
2009/07/02 09:30,  12.566,  11.712,  11.532,  10.674,    5.05,   0.187,   490.8,   203.9, 
2009/07/02 09:45,  12.804,  11.823,  11.517,  10.684,    5.87,   0.187,   521.5,        , 
2009/07/02 10:00,  13.064,  11.902,  11.537,  10.668,    6.72,   0.187,   544.2,   221.6, 
2009/07/02 10:15,  13.395,  12.020,  11.537,  10.665,    7.58,   0.187,   564.7,        , 
2009/07/02 10:30,  13.662,  12.139,  11.556,  10.675,    8.58,   0.186,   522.6,   236.6, 
2009/07/02 10:45,  13.948,  12.293,  11.591,  10.681,    9.43,   0.186,   592.6,        , 
2009/07/02 11:00,  14.320,  12.438,  11.591,  10.630,   10.55,   0.186,   613.5,   241.0, 
2009/07/02 11:15,  14.794,  12.569,  11.585,  10.625,   11.72,   0.186,   625.3,        , 
2009/07/02 11:30,  15.236,  12.783,  11.662,  10.626,   12.65,   0.185,   634.4,   261.8, 
2009/07/02 11:45,  15.606,  12.961,  11.699,  10.637,   13.29,   0.185,   640.4,        , 
2009/07/02 12:00,  15.951,  13.199,  11.734,  10.600,   13.46,   0.185,   642.9,   254.4, 
2009/07/02 12:15,  16.319,  13.405,  11.772,  10.623,   13.47,   0.185,   644.3,        , 
2009/07/02 12:30,  16.630,  13.607,  11.830,  10.627,   13.16,   0.185,   644.4,   264.8, 
2009/07/02 12:45,  16.914,  13.806,  11.855,  10.617,   12.51,   0.184,   641.3,        , 
2009/07/02 13:00,  17.140,  14.001,  11.933,  10.623,   11.82,   0.184,   634.8,   266.6, 
2009/07/02 13:15,  17.198,  14.191,  11.984,  10.597,   11.40,   0.184,   625.1,        , 
2009/07/02 13:30,  17.193,  14.307,  12.050,  10.604,   11.05,   0.185,   615.1,   254.5, 
2009/07/02 13:45,  17.120,  14.420,  12.126,  10.583,   10.62,   0.185,   601.9,        , 
2009/07/02 14:00,  17.005,  14.511,  12.167,  10.562,   10.18,   0.185,   586.5,   231.0, 
2009/07/02 14:15,  16.921,  14.611,  12.243,  10.584,    9.73,   0.185,   568.6,        , 
2009/07/02 14:30,  16.758,  14.644,  12.315,  10.567,    9.29,   0.185,   550.8,   254.9, 
2009/07/02 14:45,  16.624,  14.687,  12.366,  10.572,    8.83,   0.186,   528.6,        , 
2009/07/02 15:00,  16.458,  14.677,  12.420,  10.542,    8.36,   0.186,   505.4,   216.8, 
2009/07/02 15:15,  16.367,  14.696,  12.508,  10.538,    7.89,   0.186,   481.3,        , 
2009/07/02 15:30,  16.225,  14.696,  12.552,  10.559,    7.42,   0.186,   454.1,   200.8, 
2009/07/02 15:45,  16.085,  14.697,  12.590,  10.542,    6.98,   0.186,   425.2,        , 
2009/07/02 16:00,  15.964,  14.649,  12.621,  10.540,    6.55,   0.186,   393.1,   167.8, 
