# EBEX 2000, Kettleman City, CA, USA
# Turbulence data measured at 1 Hz by fast-anemometer at 6.4 m
# Start: 2000/08/10 15:30 PST
# u (m/s) : longitudinal wind vector component
# v (m/s) : lateral wind vector component
# w (m/s) : vertical wind vector component

"YYYY-MM-DD HH:MM:SS","u (m/s)","v (m/s)","w (m/s)"
"2000-08-10 15:30:00",   3.0316,  -0.7086,   0.0124
"2000-08-10 15:30:01",   3.1707,  -0.5351,   0.3633
"2000-08-10 15:30:02",   3.5073,  -0.7361,   0.2136
"2000-08-10 15:30:03",   4.4404,  -0.5918,  -0.0382
"2000-08-10 15:30:04",   4.3535,  -0.8445,  -0.2338
"2000-08-10 15:30:05",   4.2094,  -0.3255,  -0.5122
"2000-08-10 15:30:06",   3.6122,  -0.6914,   0.7220
"2000-08-10 15:30:07",   4.2456,  -0.7176,  -0.2448
"2000-08-10 15:30:08",   3.9239,  -0.6523,   0.1194
"2000-08-10 15:30:09",   4.2725,  -0.8708,  -0.0166
"2000-08-10 15:30:10",   4.2729,  -0.7464,  -0.1366
"2000-08-10 15:30:11",   4.5394,  -0.9373,  -0.2523
"2000-08-10 15:30:12",   4.1200,  -0.8712,  -0.1012
"2000-08-10 15:30:13",   4.4014,  -0.6431,  -0.3819
"2000-08-10 15:30:14",   4.1652,  -0.6967,  -0.2328
"2000-08-10 15:30:15",   3.7956,  -0.7294,  -0.3062
"2000-08-10 15:30:16",   3.6064,  -0.1016,  -0.4616
"2000-08-10 15:30:17",   3.2807,  -0.0947,   0.4366
"2000-08-10 15:30:18",   3.7437,  -0.3507,   0.4296
"2000-08-10 15:30:19",   3.3058,  -0.5959,  -0.1037
"2000-08-10 15:30:20",   3.6307,  -0.1547,   0.0753
"2000-08-10 15:30:21",   4.5364,  -1.0909,  -0.5789
"2000-08-10 15:30:22",   4.0738,  -1.2960,   0.0649
"2000-08-10 15:30:23",   3.0159,  -1.2494,   0.0088
"2000-08-10 15:30:24",   2.9176,  -1.1369,   0.1378
"2000-08-10 15:30:25",   3.2270,  -0.4456,   0.3400
"2000-08-10 15:30:26",   3.9186,  -0.6253,   0.0697
"2000-08-10 15:30:27",   2.7473,  -0.2759,   0.5928
"2000-08-10 15:30:28",   3.1387,  -0.3162,   0.4581
