"Date/Time (PST)","T_0.4m (K)","T_2m (K)","u_0.4m (m s-1)","u_2m (m s-1)","Q* (W m-2)","u'w' (m2 s-2)","w'T' (K m s-1)","w'rho_v' (g m-2 s-1)","w'rho_CO2' (micromol m-2 s-1)","w'rho_CH4' (microåmol m-2 s-1)"
2016-07-30 00:30,    289.16,    290.21,      2.40,      4.03,    -69.44,   -0.1530,   -0.0306,    0.0015,    3.1174,    0.1906
2016-07-30 01:00,    288.78,    289.79,      2.04,      3.64,    -70.42,   -0.1455,   -0.0297,   -0.0001,    2.6551,    0.2058
2016-07-30 01:30,    288.31,    289.51,      2.47,      4.10,    -73.37,   -0.1524,   -0.0295,    0.0004,    2.7935,    0.1803
2016-07-30 02:00,    288.20,    289.34,      2.48,      4.12,    -72.22,   -0.1555,   -0.0274,    0.0005,    2.3024,    0.1690
2016-07-30 02:30,    288.07,    289.23,      2.53,      4.22,    -70.68,   -0.1648,   -0.0307,   -0.0003,    2.6763,    0.1823
2016-07-30 03:00,    287.99,    289.11,      2.64,      4.12,    -68.89,   -0.1247,   -0.0254,   -0.0001,    1.8314,    0.1542
2016-07-30 03:30,    287.68,    288.91,      1.99,      3.36,    -67.56,   -0.1045,   -0.0219,   -0.0003,    1.6255,    0.1515
2016-07-30 04:00,    287.64,    288.90,      2.04,      3.45,    -67.30,   -0.1068,   -0.0274,    0.0000,    2.1358,    0.1761
2016-07-30 04:30,    287.37,    288.67,      1.77,      3.16,    -66.77,   -0.1016,   -0.0263,   -0.0001,    2.2814,    0.1745
2016-07-30 05:00,    287.30,    288.61,      1.81,      3.23,    -64.27,   -0.1106,   -0.0249,    0.0001,    1.8828,    0.1727
2016-07-30 05:30,    287.43,    288.58,      1.50,      2.49,    -44.43,   -0.0432,   -0.0143,   -0.0011,    0.5652,    0.1181
2016-07-30 06:00,    288.36,    289.06,      1.97,      3.20,    -24.41,   -0.0871,   -0.0126,   -0.0005,    0.2518,    0.1490
2016-07-30 06:30,    288.64,    289.29,      1.90,      3.02,     16.48,   -0.0760,   -0.0057,    0.0030,   -0.2375,    0.1421
2016-07-30 07:00,    291.40,    290.18,      1.97,      3.11,    107.58,   -0.0973,    0.0242,    0.0081,   -1.1340,    0.1430
2016-07-30 07:30,    291.89,    290.56,      2.44,      3.86,    160.43,   -0.1503,    0.0436,    0.0119,   -1.9750,    0.1489
2016-07-30 08:00,    291.30,    290.63,      2.25,      3.77,    161.45,   -0.1691,    0.0410,    0.0150,   -2.0502,    0.1567
2016-07-30 08:30,    291.76,    290.81,      2.58,      4.04,    248.32,   -0.1680,    0.0773,    0.0191,   -2.6701,    0.1589
2016-07-30 09:00,    294.16,    291.62,      2.74,      4.61,    410.79,   -0.2704,    0.1403,    0.0397,   -4.2175,    0.1810
2016-07-30 09:30,    295.50,    292.40,      2.77,      4.25,    470.53,   -0.1870,    0.1393,    0.0401,   -3.1399,    0.1704
